,subdir,model_id,model_name,seq_len,lab_len,pred_len,dim_model,dim_fcn,enc_layer,dec_layer,num_heads,mae,mse,rmse,mape,mspe
3,long_term_forecast_ALL_clean_iTransformer_hpi_ftMS_sl160_ll20_pl40_dm128_nh14_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,ALL_clean,iTransformer,160,20,40,128,128,2,1,14,0.47945705,0.52056724,0.72150344,1.094645,16.828472
37,long_term_forecast_ALL_clean_TimeXer_hpi_ftMS_sl120_ll40_pl120_dm256_nh12_el2_dl1_df1024_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,ALL_clean,TimeXer,120,40,120,256,1024,2,1,12,0.5913298,0.65700924,0.81056106,1.2759843,30.36101
5,long_term_forecast_ALL_clean_iTransformer_hpi_ftMS_sl160_ll40_pl40_dm128_nh14_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,ALL_clean,iTransformer,160,40,40,128,128,2,1,14,0.47945789,0.5205692,0.7215048,1.0946444,16.828342
7,long_term_forecast_ALL_clean_iTransformer_hpi_ftMS_sl200_ll40_pl80_dm128_nh14_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,ALL_clean,iTransformer,200,40,80,128,128,2,1,14,0.5466725,0.52513033,0.7246588,1.4223083,30.667107
8,long_term_forecast_ALL_clean_iTransformer_hpi_ftMS_sl240_ll80_pl120_dm128_nh14_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,ALL_clean,iTransformer,240,80,120,128,128,2,1,14,0.629345,0.6476714,0.80478036,1.3103939,20.648996
9,long_term_forecast_ALL_clean_iTransformer_hpi_ftMS_sl240_ll80_pl120_dm128_nh14_el4_dl2_df128_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,ALL_clean,iTransformer,240,80,120,128,128,4,2,14,0.6024411,0.5982631,0.7734747,1.3780848,31.786974
10,long_term_forecast_ALL_clean_iTransformer_hpi_ftMS_sl240_ll80_pl80_dm128_nh14_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,ALL_clean,iTransformer,240,80,80,128,128,2,1,14,0.54229665,0.5125069,0.7158959,1.4310088,31.302992
46,long_term_forecast_ALL_clean_TimeXer_hpi_ftMS_sl240_ll80_pl120_dm256_nh12_el4_dl1_df1024_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,ALL_clean,TimeXer,240,80,120,256,1024,4,1,12,0.46242276,0.36207387,0.60172576,1.4335409,60.102093
26,long_term_forecast_ALL_clean_SegRNN_hpi_ftMS_sl120_ll40_pl120_dm512_nh14_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,ALL_clean,SegRNN,120,40,120,512,2048,2,1,14,0.6072738,0.6780088,0.8234129,1.1638572,10.148346
30,long_term_forecast_ALL_clean_SegRNN_hpi_ftMS_sl160_ll40_pl120_dm512_nh14_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,ALL_clean,SegRNN,160,40,120,512,2048,2,1,14,0.56392145,0.5771748,0.7597202,1.1957029,12.901387
